"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"All Four Walls - Maya Jane Coles Remix","Gorgon City, Vaults, Maya Jane Coles","2206574","130263","7352","1834","2016-04-29"
"Primal Call - Extended Mix","Gorgon City","3530376","115017","7299","1833","2017-09-29"
"Ecstasy","Gorgon City, Jem Cooke","732133","120695","7355","1804","2021-06-25"
"Try Me Out","Gorgon City, Anne-Marie","3440198","117224","7115","1719","2014-01-01"
"Remember (feat. Stevie Appleton & Sonny Fodera) - Hannah Laing Remix","Gorgon City, Danny Howard, Stevie Appleton, Sonny Fodera, Hannah Laing","511400","258002","6926","1707","2022-11-11"
"Remember (feat. Stevie Appleton) - Hannah Laing Remix","Sonny Fodera, Gorgon City, Danny Howard, Hannah Laing, Stevie Appleton","511400","258002","6926","1707","2022-11-11"
"Let It Go - Sonny Fodera Remix","Gorgon City, Naations, Sonny Fodera","3873272","147944","8800","1697","2018-10-05"
"Never Let Me Down - t e s t p r e s s Remix","Gorgon City, Hayley May, t e s t p r e s s","1025096","129249","6553","1652","2021-07-09"
"Foolproof - Andhim Remix","Hayden James, Gorgon City, Nat Dunn, Andhim","979844","153794","6758","1638","2021-05-07"
"Kingdom","Gorgon City, Raphaella","4188583","117414","7981","1568","2018-08-10"
"Poseidon - Gorgon City Remix","Local Dialect, Gorgon City","1258035","117109","6822","1562","2019-06-14"
"Nobody - Terrace Dub","Gorgon City, DRAMA","1899791","97429","5904","1536","2020-04-17"
"All Four Walls - Zdot Remix","Gorgon City, Vaults, AJ Tracey, Zdot","1517124","105416","5287","1399","2016-04-29"
"So Hooked On Your Lovin - Gorgon City Extended Remix","Selace, Gorgon City","963444","95118","5603","1344","2020-10-23"
"Freedom","Gorgon City, Josh Barry","526091","86480","5470","1335","2021-06-25"
"Blame","Gorgon City, Josh Barry","2858481","94279","6865","1324","2018-08-10"
"Thoughts Of You","Gorgon City","562918","88362","5329","1324","2021-06-25"
"Start Over","Damian Lazarus, Gorgon City, Leia Contois","640923","150151","5024","1230","2022-04-15"
