"Track","Artists","Alltime plays","Plays 12m","Plays 1m","Plays 1w","Release date"
"Calvin Harris @ EDC LV 2015 FREE DOWNLOAD","Calvin Harris","2665502","12895","846","190","2015-06-28"
"Calvin Harris - We'll Be Coming Back feat. Example (Acapella)","Calvin Harris","2555996","0","0","0","2013-02-11"
"One Kiss","Calvin Harris","2280598","261371","23214","6116","2018-04-06"
"Calvin Harris & Ummet Ozcan - Overdrive (Part 2) CLIP","Calvin Harris","2234649","8762","584","127","2014-12-05"
"Rollin (feat. Future & Khalid)","Calvin Harris","1940827","63455","4873","1317","2017-05-12"
"Feels","Calvin Harris","1668097","91321","5658","1523","2017-06-16"
"Calvin Harris feat. Kelis Bounce (Accapella)","Calvin Harris","1631098","7126","287","81","2011-09-29"
"Calvin Harris Flashback (Accapella)","Calvin Harris","1541162","5041","248","52","2010-10-30"
"Summer","Calvin Harris","1530216","346533","32647","8334","2014-03-14"
"By Your Side feat. Tom Grennan","Calvin Harris","1490287","173841","10532","2573","2021-06-04"
"Feel So Close (Radio Edit)","Calvin Harris","1384127","346626","30839","7668","2011-08-19"
"Calvin Harris - Sweet Nothing feat Florence Welch Acapella","Calvin Harris","1297368","82293","4675","1053","2015-03-17"
"Calvin Harris - Feel So Close Acapella","Calvin Harris","1295449","0","0","0","2015-03-17"
"Calvin Harris - You Used To Hold Me (Accapella)","Calvin Harris","1266412","5454","298","73","2011-06-11"
