"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Feel So Close - Nero Dub","Calvin Harris","18928715","749380","54884","13652","2011-07-23"
"Desire (with Sam Smith) - Extended","Calvin Harris, Sam Smith","1961936","1813252","56954","13536","2023-08-18"
"Stay With Me (Part 2) (with Justin Timberlake, Halsey & Pharrell)","Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams","4927065","1521344","52988","13333","2022-08-05"
"Lonely (feat. Sananda Maitreya)","Love Regenerator, Riva Starr, Calvin Harris, Sananda Maitreya","7130231","1028993","51796","13279","2022-01-21"
"Body Moving - Special Request Remix","Eliza Rose, Calvin Harris, Special Request","363736","299730","157045","13200","2024-01-19"
"Overdrive","Calvin Harris, Ummet Ozcan","17450626","729013","50214","13085","2014-10-31"
"I'm Not Alone - CamelPhat Remix","Calvin Harris, CamelPhat","18930794","938211","51874","12932","2019-04-05"
"Faking It (feat. Kehlani & Lil Yachty) - Radio Edit","Calvin Harris, Kehlani, Lil Yachty","29136966","752300","51830","12864","2017-10-20"
"Nuh Ready Nuh Ready (feat. PARTYNEXTDOOR)","Calvin Harris, PARTYNEXTDOOR","46349506","834305","50377","12704","2018-02-08"
"Eat Sleep Rave Repeat (feat. Beardyman) - Calvin Harris Radio Edit","Fatboy Slim, Beardyman, Calvin Harris","20406034","830938","51044","12604","2014-10-07"
"Somebody Else (with Jorja Smith & Lil Durk)","Calvin Harris, Jorja Smith, Lil Durk","4455704","1132832","48220","12454","2022-08-05"
"Under Control (feat. Hurts) - Extended Mix","Calvin Harris, Alesso, Hurts","7951147","826169","50792","12448","2013-12-08"
"Outside (Oliver Heldens Remix) (feat. Ellie Goulding)","Calvin Harris, Ellie Goulding, Oliver Heldens","10622383","840927","48611","12337","2015-04-12"
"By Your Side (feat. Tom Grennan) - Felix Jaehn Remix","Calvin Harris, Tom Grennan, Felix Jaehn","6278113","856773","83505","12258","2021-07-16"
"It Was You","Calvin Harris, Firebeatz","18743600","698283","44229","11799","2014-10-31"
"Dollar Signs (feat. Tinashe)","Calvin Harris, Tinashe","21606838","676749","46749","11705","2014-10-31"
"Iron","Calvin Harris, Nicky Romero","26876002","615359","45250","11623","2012-10-29"
"I'm Not Alone - Deadmau5 Mix","Calvin Harris, Deadmau5","12972623","580375","42149","10771","2009-04-13"
"School","Calvin Harris","13661857","631559","40376","10751","2012-10-29"
"Miracle (with Ellie Goulding) - Dimitry Vegas & Like Mike vs. Bassjackers Remix","Calvin Harris, Ellie Goulding, Dimitri Vegas & Like Mike, Bassjackers","1505587","1479753","44234","10131","2023-06-16"
"Miracle (with Ellie Goulding) - ACRAZE Remix","Calvin Harris, Ellie Goulding, Acraze","1411369","1212646","35625","9972","2023-06-09"
"Day One (with Pharrell & Pusha T)","Calvin Harris, Pharrell Williams, Pusha T","3424242","768489","35924","9384","2022-08-05"
"Desire (with Sam Smith) - Cedric Gervais Festival Mix","Calvin Harris, Sam Smith, Cedric Gervais","904566","670660","37595","9312","2023-09-22"
"Awooga","Calvin Harris","14464790","481224","35335","9099","2012-10-29"
"Rollercoaster","Love Regenerator, Solardo, Calvin Harris","7029363","480777","32450","8391","2021-09-17"
"Ready Or Not (with Busta Rhymes)","Calvin Harris, Busta Rhymes","3474885","740527","37744","7811","2022-08-05"
"We Found Love - Chuckie Extended Remix","Rihanna, Calvin Harris, Fabian Lenssen","5330003","478097","32295","7766","2011-09-22"
"How Deep Is Your Love - Extended Mix","Calvin Harris, Disciples","2838445","252326","30832","7636","2015-08-07"
"Live My Best Life (with Snoop Dogg & Latto)","Calvin Harris, Snoop Dogg, Latto","3019420","643068","29802","7618","2022-08-05"
"This Is What You Came For (feat. Rihanna) - R3hab Remix","Calvin Harris, Rihanna, R3hab","8939451","754926","36850","7316","2016-08-02"
"Ecstasy (feat. Hurts)","Calvin Harris, Hurts","11922598","427080","27540","7065","2014-10-31"
"Intro","Calvin Harris","2264456","521973","27845","6927","2022-08-05"
"Desire - KC Lights Remix","Calvin Harris, Sam Smith, KC Lights","936301","757191","28125","6829","2023-10-27"
"This Is What You Came For (feat. Rihanna) - Extended Mix","Calvin Harris, Rihanna","6620952","452452","32548","6722","2016-08-02"
"Here 2 China (feat. Dizzee Rascal)","Calvin Harris, Dillon Francis, Dizzee Rascal","14884739","361402","26240","6628","2012-10-29"
"Blame (feat. John Newman) - R3HAB Trap Remix","Calvin Harris, John Newman, R3hab","7490252","434205","26174","6351","2014-11-10"
"Miracle (with Ellie Goulding) - Ben Nicky Remix","Calvin Harris, Ellie Goulding, Ben Nicky","362192","351557","26511","6351","2023-06-16"
"Reminds Me Of You","LMFAO, Calvin Harris","6464834","331302","24988","6270","2010-12-01"
"How Deep Is Your Love - DJ Snake Remix","Calvin Harris, Disciples, DJ Snake","8307260","458460","23477","5931","2015-08-28"
"Green Valley","Calvin Harris","14197866","348569","23460","5821","2012-10-29"
"We Found Love - Cahill Edit","Rihanna, Calvin Harris, Cahill","2899963","459875","22238","5747","2011-09-22"
"DNA - Calvin Harris Remix Edit","Empire Of The Sun, Calvin Harris","12794495","354780","20160","5403","2013-01-01"
"I Need Your Love (feat. Ellie Goulding) - Nicky Romero Remix","Calvin Harris, Ellie Goulding, Nicky Romero","12363671","340773","22080","5289","2013-04-12"
"One Kiss (with Dua Lipa) - Jauz Remix","Calvin Harris, Dua Lipa, Jauz","11435403","338186","21249","5144","2018-07-13"
"Summer - Diplo & Grandtheft Remix","Calvin Harris, Diplo & Grandtheft","10554424","98606","20139","5065","2014-06-20"
"One Kiss (with Dua Lipa) - Valentino Khan Remix","Calvin Harris, Dua Lipa, Valentino Khan","5496437","417698","18460","4879","2018-07-13"
"Feel So Close - Benny Benassi Remix","Calvin Harris, Benny Benassi","4633320","238246","18986","4697","2011-07-23"
"Peace Love Happiness [edit]","Love Regenerator, Calvin Harris","2658718","297015","24241","4663","2020-03-13"
"Miracle (with Ellie Goulding) - MK Remix","Calvin Harris, Ellie Goulding, MK","1689977","1396657","18579","4484","2023-05-26"
"Promises (with Sam Smith) - Mousse T.'s Disco Shizzle Remix","Calvin Harris, Sam Smith, Mousse T.","2459346","318907","16406","4390","2018-10-19"
"Promises (with Sam Smith) - Sonny Fodera Disco Mix","Calvin Harris, Sam Smith, Sonny Fodera","6302413","297104","17771","4367","2018-10-19"
"Give Me Strength [edit]","Love Regenerator, Calvin Harris","6911072","473331","32020","4317","2020-03-13"
"Miracle (with Ellie Goulding) - Nicky Romero Remix","Calvin Harris, Ellie Goulding, Nicky Romero","1404215","1199010","17731","4302","2023-06-16"
"Body Moving - Special Request Extended Remix","Eliza Rose, Calvin Harris, Special Request","120705","117634","117634","4274","2024-01-19"
"Dance Wiv Me - Extended Mix","Dizzee Rascal, Calvin Harris","2764240","168673","16183","4171","2009-01-01"
"Dance Wiv Me (feat. Calvin Harris & Chrome)","Dizzee Rascal, Calvin Harris","2764240","165769","16183","4171","2009-08-18"
"This Is What You Came For (feat. Rihanna) - Dillon Francis Remix","Calvin Harris, Rihanna, Dillon Francis","9638519","294340","21090","4035","2016-08-02"
"By Your Side (feat. Tom Grennan) - Acoustic","Calvin Harris, Tom Grennan","3679740","521676","16053","3995","2021-07-23"
"One Kiss (with Dua Lipa) - ZHU Remix","Calvin Harris, Dua Lipa, ZHU","4211866","228262","14267","3992","2018-07-13"
"Giant - Audien Remix","Calvin Harris, Rag'n'Bone Man, Audien","6869635","96436","13834","3669","2019-01-01"
"By Your Side (feat. Tom Grennan) - SIDEPIECE Remix","Calvin Harris, Tom Grennan, SIDEPIECE","2045299","258368","10708","2985","2021-07-30"
"Live Without Your Love (with Steve Lacy) - Mark Broom Remix","Love Regenerator, Steve Lacy, Calvin Harris, Mark Broom","1979679","189876","10973","2887","2020-08-21"
"We'll Be Coming Back (feat. Example) - Killsonik Remix","Calvin Harris, Example, KillSonik","5736454","166421","11466","2871","2012-07-27"
"Hypnagogic (I Can't Wait) [edit]","Love Regenerator, Calvin Harris","7957181","162060","12690","2712","2020-01-23"
"Promises (with Sam Smith) - MK Remix","Calvin Harris, Sam Smith, MK","7140730","184113","10592","2623","2018-10-19"
"Worst Day (feat. Izza Kizza)","Calvin Harris, Izza Kizza","4414821","129769","9361","2526","2009-08-18"
"By Your Side (feat. Tom Grennan) - Dom Dolla Remix","Calvin Harris, Tom Grennan, Dom Dolla","2037281","173130","9347","2466","2021-08-06"
"What's Your Name","Dillon Francis, Calvin Harris","11590652","149181","11366","2462","2015-08-14"
"This Is What You Came For (feat. Rihanna) - Bobby Puma Remix","Calvin Harris, Rihanna, Bobby Puma","3061230","138236","11720","2319","2016-08-02"
"Desire (with Sam Smith) - Cedric Gervais Club Mix","Calvin Harris, Sam Smith, Cedric Gervais","145467","127431","8758","2288","2023-09-22"
"My Way - offaiah Remix","Calvin Harris, offaiah","5896549","256611","8768","2271","2016-10-21"
"Blame (feat. John Newman) - Extended Version","Calvin Harris, John Newman","2135139","117231","7503","2215","2015-09-25"
"Sweet Nothing (feat. Florence Welch) - Tiësto Remix","Calvin Harris, Florence Welch, Tiësto","8019127","117135","11034","2192","2012-10-12"
"Pray to God (feat. HAIM) - R3hab Remix","Calvin Harris, HAIM, R3hab","5166468","123767","8325","2072","2015-05-26"
"One Kiss (with Dua Lipa) - King Britt Remix","Calvin Harris, Dua Lipa, King Britt","4098405","123423","7446","2039","2018-07-13"
"Bounce - Extended Mix","Calvin Harris, Kelis","3354939","126979","7838","2004","2011-06-12"
"Bounce (feat. Kelis) - Fly Eye Club Mix","Calvin Harris, Kelis","3354939","124596","7838","2004","2011-06-12"
"Blame (feat. John Newman) - R3HAB Club Remix","Calvin Harris, John Newman, R3hab","4314033","125203","8173","2001","2014-11-10"
"We'll Be Coming Back (feat. Example) - Original Extended Mix","Calvin Harris, Example","2423787","102918","7157","1930","2012-07-27"
"Ready for the Weekend - High Contrast Remix","Calvin Harris, High Contrast","1602609","119922","8155","1929","2009-08-06"
"Giant - Weiss Remix","Calvin Harris, Rag'n'Bone Man, Weiss","3383562","51373","7037","1795","2019-01-01"
"I Need Your Love (feat. Ellie Goulding) - Jacob Plant Remix","Calvin Harris, Ellie Goulding, Jacob Plant","2755439","110670","7119","1766","2013-04-12"
"Hypnagogic (I Can't Wait)","Love Regenerator, Calvin Harris","1868657","117191","8911","1761","2020-01-23"
"Sweet Nothing (feat. Florence Welch) - Qulinez Remix","Calvin Harris, Florence Welch, QULINEZ","2587344","112613","8979","1751","2012-10-12"
"Flashback - Eric Prydz Remix","Calvin Harris, Eric Prydz","1540367","95248","7137","1703","2009-11-06"
"This Is What You Came For (feat. Rihanna) - Tony Junior Remix","Calvin Harris, Rihanna, Tony Junior","1799485","77153","7051","1700","2016-08-02"
"Pray to God (feat. HAIM) - Calvin Harris vs Mike Pickering Hacienda Extended Remix","Calvin Harris, HAIM","636067","101405","5900","1633","2015-09-25"
"Thinking About You (feat. Ayah Marar) - EDX's Belo Horizonte At Night Remix","Calvin Harris, Ayah Marar","1741199","98279","6416","1625","2013-09-20"
"By Your Side (feat. Tom Grennan) - Monki Remix","Calvin Harris, Tom Grennan, Monki","1634341","126548","6266","1623","2021-07-02"
"CP-1","Love Regenerator, Calvin Harris","2120262","106169","7743","1596","2020-01-23"
"The Power of Love II [edit]","Love Regenerator, Calvin Harris","3767914","92640","6530","1491","2020-02-14"
"We Found Love - Cahill Club","Rihanna, Calvin Harris, Cahill","666784","69290","6544","1474","2011-09-22"
"Moving","Love Regenerator, Eli Brown, Calvin Harris","1146719","84378","4826","1227","2020-04-03"
"CP-1 [edit]","Love Regenerator, Calvin Harris","2064656","78365","5797","1149","2020-01-23"
"Miracle (with Ellie Goulding) - Creeds Remix","Calvin Harris, Ellie Goulding, Creeds","82439","78313","4370","1135","2023-06-16"
"Great DJ - Calvin Harris Remix Edit","The Ting Tings, Calvin Harris","430349","58617","4296","1128","2008-02-29"
"Summer - twoloud Remix","Calvin Harris, twoloud, Tiësto","1312311","72072","4336","1113","2014-06-20"
"Miracle (with Ellie Goulding) - Hardwell Extended Remix","Calvin Harris, Ellie Goulding, Hardwell","52785","50149","3814","1080","2023-06-16"
"The Reeling - Calvin Harris Remix","Passion Pit, Calvin Harris","1639253","71302","4118","1069","2009-05-08"
"Giant - Laidback Luke Remix","Calvin Harris, Rag'n'Bone Man, Laidback Luke","857153","30340","3999","1060","2019-01-01"
"We Found Love - Chuckie Dub","Rihanna, Calvin Harris, Fabian Lenssen","622692","60650","4118","1003","2011-09-22"
"Live Without Your Love (with Steve Lacy) - MK Remix","Love Regenerator, Steve Lacy, Calvin Harris, MK","721707","62110","3886","999","2020-09-11"
"Thinking About You (feat. Ayah Marar) - Michael Brun Remix","Calvin Harris, Ayah Marar, Michael Brun","2488110","65669","3973","998","2013-08-02"
"This Is What You Came For (feat. Rihanna) - Grandtheft Remix","Calvin Harris, Rihanna, Grandtheft","3303438","71554","4859","969","2016-08-02"
"Live Without Your Love (with Steve Lacy) - Solardo Remix","Love Regenerator, Steve Lacy, Calvin Harris, Solardo","506608","61929","3899","951","2020-09-25"
"I'm Not Alone - Thomas Schumacher Remix","Calvin Harris, Thomas Schumacher","935170","59058","3765","945","2019-04-05"
"Don't You Want Me [edit]","Love Regenerator, Eli Brown, Calvin Harris","1419313","66806","3475","899","2020-04-03"
"Live Without Your Love (with Steve Lacy) - Honey Dijon's Love Unlimited Remix","Love Regenerator, Steve Lacy, Calvin Harris, Honey Dijon","694791","64582","3363","885","2020-09-04"
"My Way - offaiah Remix [Extended Mix]","Calvin Harris, offaiah","620733","26856","3499","865","2016-10-21"
"Miracle (with Ellie Goulding) - Ben Nicky Extended Remix","Calvin Harris, Ellie Goulding, Ben Nicky","73557","71594","2956","865","2023-06-16"
"One Kiss (with Dua Lipa) - Patrick Topping Remix","Calvin Harris, Dua Lipa, Patrick Topping","1914309","50581","3081","855","2018-07-13"
"Miracle (with Ellie Goulding) - Valentino Khan Remix","Calvin Harris, Ellie Goulding, Valentino Khan","56072","52258","3026","839","2023-06-16"
"We'll Be Coming Back (feat. Example) - R3hab EDC Vegas Remix","Calvin Harris, Example, R3hab","1424186","34415","2734","814","2012-07-27"
