"Artist","Artist country","Artist genre","Viberate rank","Genre rank","Instagram","X","Soundcloud"
"DJ NYK","India","Electronic","9112","633","is following","not following","not following"
"ARIUS","United States","Electronic","9144","636","not following","is following","is following"
"Leon Thomas","United States","R&B","9167","413","not following","is following","not following"
"Molella","Italy","Electronic","9168","639","is following","not following","not following"
"3BallMTY","Mexico","Pop","9190","3136","is following","is following","not following"
"Afro Bros","Netherlands","Electronic","9222","646","not following","is following","not following"
"Gabrielle","United Kingdom","R&B","9276","415","not following","is following","not following"
"DJ Tira","South Africa","Electronic","9287","650","is following","not following","not following"
"Mr. Belt & Wezol","Netherlands","Electronic","9299","651","not following","is following","not following"
"Dakota","United Kingdom","Pop","9337","3184","is following","is following","not following"
"Jauz","United States","Electronic","9346","656","is following","both","not following"
"Louis The Child","United States","Electronic","9362","658","is following","both","not following"
"UPSAHL","United States","Pop","9388","3207","is following","not following","not following"
"LU KALA","Canada","Pop","9389","3208","not following","is following","not following"
"Kah-Lo","United States","Electronic","9442","663","not following","both","not following"
"Malla 100 Alça","Brazil","Latin","9446","1099","is following","not following","not following"
"Fabio Rovazzi","Italy","Pop","9517","3243","is following","not following","not following"
"Andy Mineo","United States","Hip Hop","9528","1817","not following","is following","not following"
"Parson James","United States","Pop","9531","3247","not following","is following","not following"
"Melanie C","United Kingdom","Pop","9552","3255","not following","is following","not following"
"Oro Solido","United States","Latin","9553","1110","not following","is following","not following"
"Firebeatz","Netherlands","Electronic","9579","673","is following","both","not following"
"Frankie J","United States","R&B","9600","427","not following","is following","not following"
"Cosmic Gate","Germany","Electronic","9612","676","not following","is following","not following"
"Trobi","Netherlands","Electronic","9636","681","not following","is following","not following"
"DubVision","Netherlands","Electronic","9651","684","is following","is following","not following"
"Infected Mushroom","Israel","Electronic","9653","685","is following","not following","not following"
"Aynur Aydın","Turkey","Pop","9673","3292","is following","not following","not following"
"Klingande","France","Electronic","9734","690","is following","not following","not following"
"BISCITS","United Kingdom","Electronic","9760","691","is following","not following","not following"
"Boy George","United Kingdom","Pop","9779","3318","is following","not following","is following"
"Busiswa","South Africa","Electronic","9807","694","is following","is following","not following"
"Marc Stout","United States","Electronic","9846","697","not following","is following","is following"
"San Holo","Netherlands","Electronic","9860","699","is following","is following","not following"
"Max Oazo","Romania","Electronic","9861","700","is following","is following","is following"
"Gluk'oZa (Глюк'oZa)","Russian Federation","Pop","9924","3370","is following","not following","not following"
"Good Times Ahead","United States","Electronic","9970","709","is following","both","not following"
"Aima Baig","Pakistan","Pop","9972","3391","is following","not following","not following"
"Fazura","Malaysia","Pop","9980","3395","is following","not following","not following"
"Will K","Australia","Electronic","9981","710","is following","not following","not following"
"Julie Bergan","Norway","Pop","9987","3398","not following","is following","not following"
"Noemi","Italy","Pop","10044","3413","not following","is following","not following"
"Rhymastic","Vietnam","Pop","10064","3423","is following","not following","is following"
"Noisestorm","Ireland","Electronic","10087","719","not following","is following","not following"
"D-Block & S-te-Fan","Netherlands","Electronic","10090","720","is following","is following","not following"
"Fly Project","Romania","Electronic","10092","721","is following","is following","not following"
"Wankelmut","Germany","Electronic","10103","724","not following","is following","not following"
"Sander van Doorn","Netherlands","Electronic","10113","726","not following","both","not following"
"Nghtmre","United States","Electronic","10134","728","not following","is following","is following"
"DallasK","United States","Electronic","10143","729","not following","is following","not following"
"Sheebah","Uganda","African","10148","165","not following","is following","not following"
"Lourdiz","United States","Hip Hop","10150","1928","not following","is following","not following"
"Kate Ryan","Belgium","Pop","10155","3450","is following","is following","not following"
"Solardo","United Kingdom","Electronic","10178","736","both","both","not following"
"Glasperlenspiel","Germany","Pop","10184","3458","is following","not following","not following"
"Jamily","Brazil","Religious","10220","306","is following","not following","not following"
"Whisnu Santika","Indonesia","Electronic","10230","743","not following","is following","not following"
"Coone","Belgium","Electronic","10236","745","is following","is following","not following"
"Francisca Valenzuela","Chile","Rock","10277","1009","not following","is following","not following"
"Mike Williams","Netherlands","Electronic","10278","752","not following","is following","is following"
"Feder","France","Electronic","10312","757","is following","not following","not following"
"Dada Life","Sweden","Electronic","10316","758","is following","both","not following"
"Ferry Corsten","Netherlands","Electronic","10331","759","not following","both","not following"
"Tommy Trash","Australia","Electronic","10353","763","not following","is following","is following"
"Chris Willis","United States","Electronic","10357","764","is following","is following","not following"
"Connie Constance","United Kingdom","Pop","10359","3516","not following","is following","not following"
"3LAU","United States","Electronic","10368","766","is following","is following","is following"
"Metro Station","United States","Rock","10375","1020","not following","is following","not following"
"Dan Caplen","United Kingdom","R&B","10376","460","is following","is following","not following"
"Smash","Russian Federation","Electronic","10382","767","is following","not following","not following"
"Charlie Sloth","United Kingdom","Hip Hop","10386","1966","not following","is following","not following"
"DJ Cobra Monterrey","Mexico","Latin","10399","1182","is following","not following","not following"
"Ariel Sheney","Cote d'Ivoire","African","10447","174","not following","is following","not following"
"Elgit Doda","Albania","European","10454","83","is following","not following","not following"
"Full Crate","Netherlands","Hip Hop","10499","1988","not following","is following","not following"
"Fuse ODG","United Kingdom","African","10561","178","not following","both","not following"
"Geegun","Russian Federation","Hip Hop","10565","2003","is following","is following","not following"
"Diogo Piçarra","Portugal","Pop","10642","3592","not following","is following","not following"
"Allie X","Canada","Pop","10679","3606","not following","is following","not following"
"DJ Shadow Dubai","United Arab Emirates","Electronic","10687","784","is following","not following","not following"
"Candi Staton","United States","R&B","10690","474","not following","is following","not following"
"iLoveMemphis","United States","Hip Hop","10719","2035","not following","is following","not following"
"DJ Kantik","Turkey","Electronic","10750","789","not following","is following","not following"
"MATTN","Belgium","Electronic","10759","791","is following","not following","not following"
"RL Grime","United States","Electronic","10776","793","is following","is following","not following"
"Atiye","Turkey","Pop","10817","3655","not following","not following","is following"
"Jimmie Allen","United States","Country","10834","244","not following","is following","not following"
"Carneyval","United States","Pop","10852","3667","not following","is following","is following"
"Digital Farm Animals","United Kingdom","Electronic","10882","809","is following","is following","not following"
"David Puentez","Germany","Electronic","10923","816","is following","is following","is following"
"Beast in black","Finland","Metal","10934","120","not following","is following","not following"
"Professor Green","United Kingdom","Hip Hop","10975","2082","both","not following","not following"
"DJ Tunez","United States","African","10990","186","not following","is following","not following"
"Lucky Luke","Lithuania","Electronic","11007","821","not following","is following","not following"
"Arman Aydin","Turkey","Electronic","11011","822","is following","is following","not following"
"DJ Dark","Romania","Electronic","11013","823","not following","not following","is following"
"James Vincent McMorrow","Ireland","Pop","11078","3733","is following","not following","not following"
"Ian Asher","United States","Electronic","11098","831","not following","not following","is following"
"Nafe Smallz","United Kingdom","Hip Hop","11123","2098","not following","is following","not following"
"Deeperise","Turkey","Electronic","11129","834","is following","not following","not following"
"Hot Since 82","United Kingdom","Electronic","11148","837","not following","is following","not following"
"Maximillian","Denmark","Pop","11154","3760","not following","is following","not following"
"Bera","Georgia","Pop","11167","3764","not following","is following","not following"
"Moguai","Germany","Electronic","11176","840","is following","both","is following"
"Donny Osmond","United States","Pop","11181","3769","is following","not following","not following"
"Arisa","Italy","Pop","11199","3775","is following","not following","not following"
"Andie Case","United States","Pop","11222","3781","not following","is following","not following"
"Ashton Irwin","Australia","Pop","11233","3785","not following","is following","not following"
"SP3CTRUM","Italy","Electronic","11340","851","is following","not following","not following"
"Young T & Bugsey","United Kingdom","Hip Hop","11362","2146","not following","both","not following"
"Block & Crown","Netherlands","Electronic","11371","854","not following","is following","not following"
"Samo","Mexico","Pop","11399","3848","not following","is following","not following"
"RaeLynn","United States","Country","11431","254","is following","not following","not following"
"Mike Jones","United States","Hip Hop","11457","2162","not following","is following","not following"
"MOTi","Netherlands","Electronic","11463","862","is following","is following","not following"
"Ferreck Dawn","Netherlands","Electronic","11469","863","is following","is following","not following"
"Busted","United Kingdom","Rock","11487","1114","is following","not following","not following"
"Julia Gomes","Brazil","Pop","11489","3881","is following","not following","not following"
"Scott Hoying","United States","Pop","11515","3890","not following","is following","not following"
"Amber Mark","United States","R&B","11544","508","is following","not following","not following"
"Smith & Thell","Sweden","Pop","11599","3923","not following","is following","not following"
"Arty","Russian Federation","Electronic","11612","873","is following","is following","not following"
"TWO LANES","Germany","Electronic","11615","875","not following","is following","not following"
"Ai","Japan","Pop","11641","3932","is following","not following","not following"
"Mario Winans","United States","R&B","11666","512","not following","is following","not following"
"Lyrica Anderson","United States","R&B","11675","513","not following","is following","not following"
"Andrew Huang","Canada","Pop","11692","3951","not following","is following","not following"
"Johnny Stimson","United States","Pop","11701","3958","is following","not following","not following"
"Yotto","Finland","Electronic","11715","883","is following","is following","not following"
"Aura Kasih","Indonesia","Pop","11721","3966","is following","not following","not following"
"Baauer","United States","Electronic","11760","888","not following","is following","not following"
"Bag Raiders","Australia","Electronic","11761","889","not following","is following","not following"
"Cashmere Cat","Norway","Electronic","11813","894","not following","is following","not following"
"Toby Romeo","Austria","Electronic","11821","895","is following","is following","is following"
"London On Da Track","United States","Hip Hop","11875","2236","both","not following","not following"
"BYU Vocal Point","United States","Pop","11887","4016","not following","is following","not following"
"Playero DJ","Puerto Rico","Latin","11897","1327","is following","not following","not following"
"Shermanology","Netherlands","Electronic","11915","903","is following","not following","not following"
"Shekhinah","South Africa","Pop","11919","4031","not following","is following","not following"
"Lyca Gairanod","Philippines","Pop","11932","4035","not following","is following","not following"
"Faul & Wad","France","Electronic","11934","905","is following","is following","not following"
"Morgan Heritage","Jamaica","Reggae","11935","133","not following","is following","not following"
"Amy Shark","Australia","Pop","11947","4040","is following","not following","not following"
"Valentino Khan","United States","Electronic","11987","909","is following","both","not following"
"Bohnes","United States","Pop","11989","4054","not following","is following","not following"
"Nina Nesbitt","United Kingdom","Pop","11992","4055","is following","is following","not following"
"Mr. Polska","Netherlands","Hip Hop","12000","2266","is following","is following","not following"
"Trevor Guthrie","Canada","Electronic","12023","913","is following","not following","not following"
"Ananta Vinnie","Indonesia","Hip Hop","12040","2274","not following","is following","not following"
"filous","Austria","Pop","12057","4072","is following","not following","not following"
"Shiadanni","Canada","Pop","12068","4074","not following","is following","not following"
"Laura Brehm","United States","Electronic","12070","918","not following","is following","is following"
"Delta Heavy","United Kingdom","Electronic","12108","920","not following","is following","not following"
"Henri Purnell","Germany","Electronic","12122","921","not following","is following","is following"
"Cassian","Australia","Electronic","12155","927","not following","is following","not following"
"LUIGUI BLEAND","United States","Latin","12174","1353","is following","is following","not following"
"Common Kings","United States","Reggae","12180","135","not following","is following","not following"
"Teriyaki Boyz","Japan","Hip Hop","12194","2314","not following","not following","is following"
"Eiza Gonzalez","Mexico","Pop","12202","4117","both","both","not following"
"Brian Tyler","United States","Electronic","12212","930","not following","is following","not following"
"CID","United States","Electronic","12216","931","is following","is following","not following"
"Charlotte Sands","United States","Pop","12242","4130","is following","not following","not following"
"Cristoph","United Kingdom","Electronic","12260","935","is following","is following","not following"
"Melis Kar","Turkey","Pop","12276","4143","not following","is following","not following"
"2Scratch","Germany","Hip Hop","12343","2349","not following","is following","not following"
"Delta Goodrem","Australia","Pop","12355","4168","is following","is following","not following"
"Jeny Preston","France","Electronic","12368","947","is following","not following","not following"
"Audien","United States","Electronic","12381","949","is following","is following","not following"
"Yolanda Be Cool","Australia","Electronic","12382","950","is following","is following","is following"
"Ice MC","United Kingdom","Hip Hop","12392","2354","not following","is following","not following"
