"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Paradigm","CamelPhat, A*M*E","1619445","186464","9072","2389","2015-05-31"
"No Time For Hulk - Camelphat Re-Fix - (Erik Hagleton 2018 Vocal Edit) - Radio Edit","DJ Wady, Patrick M, CamelPhat","627976","153666","11486","2355","2018-02-09"
"No Time for Hulk - Camelphat Re-Fix - (Erik Hagleton 2018 Vocal Edit) - Radio Edit","DJ Wady, Patrick M, Erik Hagleton, CamelPhat","627976","153666","9005","2355","2018-02-09"
"Dopamine Machine - Club Mix","CamelPhat, Ali Love","1477475","115584","10725","2070","2018-07-27"
"Accelerator","Solardo, CamelPhat","5976268","161848","7652","1992","2018-10-18"
"Cold Since '81","CamelPhat","1632933","209618","9486","1981","2014-04-04"
"Phantoms","CamelPhat, Cristoph","1073501","124490","10055","1961","2020-10-30"
"Cola - Franky Rizardo Remix","CamelPhat, Elderbrook, Franky Rizardo","3596681","112058","9013","1952","2017-09-01"
"Drop It - Mason Maynard Remix","CamelPhat, Mason Maynard","2026585","173801","9718","1924","2018-10-08"
"Critical","CamelPhat, Green Velvet","3495909","172305","9274","1923","2021-01-08"
"Siren Song - Original","CamelPhat, EDEN","1295053","124720","7942","1908","2015-08-17"
"Carry Me Away (feat. Jem Cooke)","CamelPhat, Jem Cooke","814156","117392","9189","1853","2020-10-30"
"Rabbit Hole - Solardo Remix","CamelPhat, Jem Cooke, Solardo","1757614","111873","6795","1733","2020-04-10"
"Hang Up Your Hang Ups (The Only One) [feat. Kim English] - CamelPhat Remix, Edit","Paul Woolford, Kim English, CamelPhat","3056959","119350","6666","1664","2018-08-24"
"Distorted Light Beam - CamelPhat Remix","Bastille, CamelPhat","1528095","109804","6424","1617","2021-08-06"
"Paths","Redondo, CamelPhat","3018528","194491","6388","1578","2016-01-15"
"Wildfire (feat. LOWES)","CamelPhat, Lowes","738543","81256","6309","1379","2020-10-30"
"World In Action","Mat.Joe, CamelPhat","3243636","104496","6535","1311","2017-11-13"
"Raabta - AFTR:HRS Mixcut","CamelPhat","2053700","115355","5196","1310","2016-12-23"
"One Summer","Yousef, CamelPhat","1464573","184566","5115","1301","2021-08-20"
"Live For The Music feat. Erire - Original Mix","CamelPhat, Erire","2018143","82026","5040","1246","2013-04-16"
"Live For The Music (feat. Erire)","CamelPhat","2018143","80293","5040","1246","2019-09-06"
"Chloe's Theme - Original Mix","CamelPhat","2028141","105415","4948","1211","2016-05-23"
"Make 'Em Dance - Original Mix","CamelPhat","2284967","77377","4710","1152","2016-05-23"
"DMT","CamelPhat","1616082","72175","4238","1141","2018-07-06"
"The Quad","CamelPhat","4240985","73882","4508","1138","2016-03-25"
"Cola - Robin Schulz Extended Remix","CamelPhat, Elderbrook, Robin Schulz","2284777","72087","4213","1088","2017-12-07"
"Be Someone - Cristoph Remix","CamelPhat, Jake Bugg, Cristoph","1388368","81075","4323","1058","2019-08-16"
"Expect Nothing","CamelPhat","525543","62389","4535","927","2020-10-30"
"Bugged Out - Original Mix","CamelPhat, Audio Bullys","758957","62026","3163","779","2018-03-02"
"Hang Up Your Hang Ups (The Only One) [feat. Kim English] - CamelPhat Remix","Paul Woolford, Kim English, CamelPhat","751302","40253","2830","752","2018-08-24"
"Easier (feat. LOWES) - Acoustic","CamelPhat, Lowes","546747","57939","3169","729","2020-12-04"
"Hypercolour - Mind Against Remix","CamelPhat, Yannis, Mind Against","597444","40532","2590","687","2020-07-31"
"Be Someone - Acoustic","CamelPhat, Jake Bugg","1073201","45918","2654","647","2019-09-06"
"The Solution","CamelPhat","1431314","34265","2250","630","2018-07-06"
"Days Go By - CamelPhat Extended Remix","Dirty Vegas, CamelPhat","439620","37687","2204","591","2019-07-12"
"Hypercolour - Patrice Bäumel Remix","CamelPhat, Yannis, Patrice Bäumel","488882","34040","2100","534","2020-08-07"
"Freak - Matthias Tanzmann Remix","CamelPhat, Cari Golden, Matthias Tanzmann","256706","27049","2286","483","2020-03-26"
"Boyz In Da Hood - Camelphat Remix","Wade, CamelPhat, Wade","355951","40569","2040","482","2018-06-01"
"Be Someone - Skream Remix","CamelPhat, Jake Bugg, Skream","1602245","48829","1595","429","2019-07-19"
"Best of Me - CamelPhat Remix - Mixed","Sailor & I, CamelPhat","266824","41028","1880","416","2021-03-11"
"No Time For Hulk - Camelphat Re-Fix - (Erik Hagleton 2018 Vocal Edit)","DJ Wady, Patrick M, CamelPhat","302813","34018","2034","414","2018-02-09"
"No Time for Hulk - Camelphat Re-Fix - (Erik Hagleton 2018 Vocal Edit)","DJ Wady, Patrick M, Erik Hagleton, CamelPhat","302813","34018","1605","414","2018-02-09"
"The Future - Reinier Zonneveld Remix","CamelPhat, Rebūke, Reinier Zonneveld","229136","32912","1518","412","2021-09-24"
"Crawl - CamelPhat Remix","Lee Foss, SPNCR, Mal Rainey, CamelPhat","504442","5903","1579","394","2018-08-24"
"Hulk - Camelphat 2017 Re-Fix","DJ Wady, Patrick M, CamelPhat","270579","27485","1586","386","2017-07-21"
"Paradigm - Amtrac's Temptation Mix","CamelPhat, A*M*E, Amtrac","293703","18746","1445","349","2015-04-06"
"April - 12 Version","Yousef, CamelPhat","145412","21088","1342","344","2021-07-30"
"Sun Comes Up - CamelPhat Deluxe Mix","CamelPhat, Jaxxon","455555","21241","1265","322","2014-11-18"
"Bang 2 Drum","CamelPhat, Mat.Joe","966808","26199","1558","310","2017-11-13"
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen) - Camelphat Remix","Rudimental, Jess Glynne, Macklemore, Dan Caplen, CamelPhat","997889","22845","1191","300","2018-01-18"
"Electricity","CamelPhat, Riva Starr","714473","20745","1479","287","2019-07-26"
"Parachute - CamelPhat Remix","Otto Knows, CamelPhat","727561","16069","995","278","2014-01-01"
"Panic Room - Jonas Rathsman Remix","Au/Ra, CamelPhat, Jonas Rathsman","381988","12896","1083","266","2018-03-28"
"Warning Signs - CamelPhat Extended Mix","Alan Fitzpatrick, Lawrence Hart, CamelPhat","131310","18003","1111","263","2021-07-02"
"Rabbit Hole - Black Circle Remix","CamelPhat, Jem Cooke, Black Circle","383016","16371","959","254","2019-12-13"
