"Date","Followers","Monthly listeners","Monthly streams","Listeners/followers","Streams/listeners"
"2023-02-19","420420","3571784","2762593","8.50","0.77"
"2023-02-26","421076","3554587","2328257","8.44","0.66"
"2023-03-05","421832","3507913","2360676","8.32","0.67"
"2023-03-12","422694","3508849","2296357","8.30","0.65"
"2023-03-19","423644","3615501","2781019","8.53","0.77"
"2023-03-26","424782","3752783","2888573","8.83","0.77"
"2023-04-02","425548","3828021","3241382","9.00","0.85"
"2023-04-09","426234","3925089","2834305","9.21","0.72"
"2023-04-16","426712","3938008","2799995","9.23","0.71"
"2023-04-23","427519","3954427","3046536","9.25","0.77"
"2023-04-30","428380","4055479","3840303","9.47","0.95"
"2023-05-07","429068","4125541","3397906","9.62","0.82"
"2023-05-14","429803","4190453","3477890","9.75","0.83"
"2023-05-21","430536","4227830","3525864","9.82","0.83"
"2023-05-28","431235","4287384","3724409","9.94","0.87"
"2023-06-04","432104","4334613","3659841","10.03","0.84"
"2023-06-11","433082","4453028","3772029","10.28","0.85"
"2023-06-18","433976","4591310","4009693","10.58","0.87"
"2023-06-25","434733","4636353","3903628","10.66","0.84"
"2023-07-02","435625","4678208","3677850","10.74","0.79"
"2023-07-09","436305","4628311","3748303","10.61","0.81"
"2023-07-16","437136","4526616","3639138","10.36","0.80"
"2023-07-23","438346","4497709","3659724","10.26","0.81"
"2023-07-30","439650","4477345","4136099","10.18","0.92"
"2023-08-06","440740","4457650","3817346","10.11","0.86"
"2023-08-13","441798","4478920","3733958","10.14","0.83"
"2023-08-20","442627","4496325","3839583","10.16","0.85"
"2023-08-27","443435","4487478","3730229","10.12","0.83"
"2023-09-03","444120","4457159","3396552","10.04","0.76"
"2023-09-10","444780","4423607","3443419","9.95","0.78"
"2023-09-17","445249","4327832","3676450","9.72","0.85"
"2023-09-24","445832","4196345","2765467","9.41","0.66"
"2023-10-01","446606","4082758","3245888","9.14","0.80"
"2023-10-08","447268","4002144","3174290","8.95","0.79"
"2023-10-15","447953","3933315","3069571","8.78","0.78"
"2023-10-22","447197","3905175","3081800","8.73","0.79"
"2023-10-29","448003","3873702","3114041","8.65","0.80"
"2023-11-05","448793","3800098","2963732","8.47","0.78"
"2023-11-12","449590","3773520","3048728","8.39","0.81"
"2023-11-19","450454","3740988","2088940","8.30","0.56"
"2023-11-26","451135","3669097","3816170","8.13","1.04"
"2023-12-03","452081","3660104","2999851","8.10","0.82"
"2023-12-10","452885","3632521","2346058","8.02","0.65"
"2023-12-17","453401","3611485","2451131","7.97","0.68"
"2023-12-24","453074","3606704","3222555","7.96","0.89"
"2023-12-31","453368","3563464","2151252","7.86","0.60"
"2024-01-07","453961","3606050","1919593","7.94","0.53"
"2024-01-14","454641","3714260","3698432","8.17","1.00"
"2024-01-21","455448","3846627","4520303","8.45","1.18"
"2024-01-28","456021","3994625","2990356","8.76","0.75"
"2024-02-04","456597","4055192","3189218","8.88","0.79"
"2024-02-11","456177","4059120","3536406","8.90","0.87"
"2024-02-18","456195","4007293","3133559","8.78","0.78"
"2024-02-25","456950","3972741","3145731","8.69","0.79"
