"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Uruguay","Nora En Pure, Sons Of Maria","2573857","111115","7835","2082","2015-01-01"
"Uruguay - EDX's Dubai Skyline Remix","Nora En Pure, Sons Of Maria, EDX","2573857","99382","8061","2082","2015-01-12"
"Sink Deep - Nora en Pure Radio Mix","Kyle Watson, Popartlive, Nora En Pure","1835750","109958","7912","2022","2016-11-21"
"Make Me Love You","Nora En Pure","3621107","102144","7587","1993","2017-01-27"
"Vinternatt - Nora en Pure & Sons of Maria Remix Edit","Danijel Kostic, Nora En Pure, Sons Of Maria","2292347","124357","10697","1984","2018-04-13"
"Emerald Skies - Extended Mix","Nora En Pure","44983","9782","7676","1984","2023-12-01"
"Who You Are - Extended Mix","Nora En Pure","79064","66407","7634","1970","2023-09-15"
"Altered Destiny - Club Mix","Nora En Pure","348254","183776","8744","1965","2022-10-28"
"Stop Wasting Time","Nora En Pure","1276473","340610","7900","1961","2022-09-23"
"Waves","Nora En Pure","3784165","88227","7174","1945","2017-05-08"
"Better off That Way - Radio Mix","Nora En Pure","6877599","136946","7181","1891","2015-01-01"
"Better off That Way - Radio Mix","Nora En Pure","6877599","136946","7181","1891","2016-02-19"
"You Make Me Float - Dinka Remix","Nora En Pure","3257259","162403","7422","1880","2012-12-17"
"You Make Me Float - Dinka Remix","Nora En Pure, Dynka","3257259","157008","7422","1880","2013-01-01"
"Breathe - Nora En Pure Remix","Seeb, Neev, Nora En Pure","1511849","78652","8384","1871","2016-06-24"
"Illusions - Extended Mix","Nora En Pure","59260","50976","6693","1734","2023-11-03"
"Sleeping in My Bed - Radio Mix","Nora En Pure","5461858","106523","6735","1728","2016-04-05"
"Sleeping in My Bed - Radio Mix","Nora En Pure, Sons Of Maria","5461858","104236","6735","1728","2016-04-25"
"Fantasy - Nora En Pure Remix","Sofi Tukker, Nora En Pure","2285427","103500","3968","1715","2019-05-17"
"Arbora - Extended Mix","Nora En Pure","66094","57354","7051","1697","2023-10-20"
"Mind Games (feat. Dyo) - Nora En Pure Remix","BLVK JVCK, Nora En Pure, Dyo","2052205","84944","8192","1680","2017-10-20"
"In The Air Tonight - Nora en Pure Remix","Nora En Pure, Lika Morgan","1266535","110209","8540","1655","2020-05-22"
"In the Air Tonight - Nora En Pure Remix Edit","Nora En Pure, Lika Morgan","1266535","110209","6756","1655","2020-05-22"
"Wetlands - Extended Mix","Nora En Pure","728215","120023","7143","1640","2020-09-25"
"In the Air Tonight - Croatia Squad Extended Remix","Nora En Pure, Lika Morgan, Croatia Squad","415577","118999","6763","1557","2020-05-01"
"Let The Light In - Original Mix","Nora En Pure","4295934","126452","5456","1493","2014-08-04"
"Satisfy - Sons of Maria Radio Mix","Nora En Pure","4176337","97334","5795","1472","2015-03-27"
