"Date","Followers","Monthly listeners","Monthly streams","Listeners/followers","Streams/listeners"
"2021-12-12","298645","2449274","929461","8.20","0.38"
"2021-12-19","299775","2449088","830942","8.17","0.34"
"2021-12-26","300624","2417797","793572","8.04","0.33"
"2022-01-02","301994","2444313","827625","8.09","0.34"
"2022-01-09","303218","2474648","837375","8.16","0.34"
"2022-01-16","304410","2494718","348536","8.20","0.14"
"2022-01-23","305434","2615359","1392174","8.56","0.53"
"2022-01-30","306675","2697658","1123538","8.80","0.42"
"2022-02-06","307930","2725039","1023026","8.85","0.38"
"2022-02-13","308991","2693526","985810","8.72","0.37"
"2022-02-20","309989","2675350","970995","8.63","0.36"
"2022-02-27","311102","2598323","946307","8.35","0.36"
"2022-03-06","312077","2549168","2373666","8.17","0.93"
"2022-03-13","313080","2552677","2337813","8.15","0.92"
"2022-03-20","314037","2637415","2457981","8.40","0.93"
"2022-03-27","315005","2720276","2415085","8.64","0.89"
"2022-04-03","315981","2774421","2429049","8.78","0.88"
"2022-04-10","316942","2771999","2097824","8.75","0.76"
"2022-04-17","317914","2728596","2465535","8.58","0.90"
"2022-04-24","318838","2729784","2526021","8.56","0.93"
"2022-05-01","319759","2740633","2465257","8.57","0.90"
"2022-05-08","320640","2786828","2564660","8.69","0.92"
"2022-05-15","321573","2841579","2655670","8.84","0.93"
"2022-05-22","322667","2850211","2750291","8.83","0.96"
"2022-05-29","323838","2868816","2676633","8.86","0.93"
"2022-06-05","324943","2876758","2613481","8.85","0.91"
"2022-06-12","326079","2838578","2480752","8.71","0.87"
"2022-06-19","327343","2838893","2653675","8.67","0.93"
"2022-06-26","328412","2836048","2672438","8.64","0.94"
"2022-07-03","329410","2825636","2628808","8.58","0.93"
"2022-07-10","329888","2833525","2558954","8.59","0.90"
"2022-07-17","331248","2792936","2487162","8.43","0.89"
"2022-07-24","332234","2779196","2552233","8.37","0.92"
"2022-07-31","333232","2777512","2636203","8.34","0.95"
"2022-08-07","334325","2784733","2628092","8.33","0.94"
"2022-08-14","335657","2841008","2666145","8.46","0.94"
"2022-08-21","336812","2916801","2582752","8.66","0.89"
"2022-08-28","337861","2934533","3068964","8.69","1.05"
"2022-09-04","335461","2913094","2561976","8.68","0.88"
"2022-09-11","336427","2835361","2502086","8.43","0.88"
"2022-09-18","337402","2711704","2450512","8.04","0.90"
"2022-09-25","338444","2641890","2413362","7.81","0.91"
"2022-10-02","339525","2607756","2545587","7.68","0.98"
"2022-10-09","340546","2597310","2436383","7.63","0.94"
"2022-10-16","341662","2603496","2390163","7.62","0.92"
"2022-10-23","342808","2597429","2440584","7.58","0.94"
"2022-10-30","343848","2608153","2457780","7.59","0.94"
"2022-11-06","344861","2644377","2614986","7.67","0.99"
"2022-11-13","345871","2669582","2559395","7.72","0.96"
"2022-11-20","346811","2668179","2451355","7.69","0.92"
"2022-11-27","347690","2619850","2374334","7.54","0.91"
"2022-12-04","348777","2547839","2348203","7.31","0.92"
"2022-12-11","349783","2481405","2272614","7.09","0.92"
"2022-12-18","350670","2426794","2230210","6.92","0.92"
"2022-12-25","351510","2399291","2072096","6.83","0.86"
"2023-01-01","352573","2469892","2434054","7.01","0.99"
"2023-01-08","353842","2542549","2816383","7.19","1.11"
"2023-01-15","355046","2608526","2522889","7.35","0.97"
"2023-01-22","356250","2680828","2589711","7.53","0.97"
"2023-01-29","357370","2634290","2492845","7.37","0.95"
"2023-02-05","358387","2572172","2453704","7.18","0.95"
